State,County,School Breakfast Program participants (change % children) 2012-17 (PCH_SBP_12_17),Units,FIPS,FID
Georgia,Decatur,0.8014540936078589,Percentage points,13087,714
Georgia,DeKalb,0.8014540936078589,Percentage points,13089,718
Georgia,Dodge,0.8014540936078589,Percentage points,13091,720
Georgia,Dooly,0.8014540936078589,Percentage points,13093,724
Georgia,Dougherty,0.8014540936078589,Percentage points,13095,728
Georgia,Douglas,0.8014540936078589,Percentage points,13097,731
Georgia,Early,0.8014540936078589,Percentage points,13099,735
Georgia,Echols,0.8014540936078589,Percentage points,13101,737
Georgia,Effingham,0.8014540936078589,Percentage points,13103,742
Georgia,Elbert,0.8014540936078589,Percentage points,13105,746
Georgia,Emanuel,0.8014540936078589,Percentage points,13107,750
Georgia,Evans,0.8014540936078589,Percentage points,13109,754
Georgia,Fannin,0.8014540936078589,Percentage points,13111,755
Georgia,Fayette,0.8014540936078589,Percentage points,13113,760
Georgia,Floyd,0.8014540936078589,Percentage points,13115,764
Georgia,Forsyth,0.8014540936078589,Percentage points,13117,768
Georgia,Franklin,0.8014540936078589,Percentage points,13119,772
Georgia,Fulton,0.8014540936078589,Percentage points,13121,779
Georgia,Gilmer,0.8014540936078589,Percentage points,13123,781
Georgia,Glascock,0.8014540936078589,Percentage points,13125,783
Georgia,Glynn,0.8014540936078589,Percentage points,13127,793
Georgia,Gordon,0.8014540936078589,Percentage points,13129,796
Georgia,Grady,0.8014540936078589,Percentage points,13131,797
Georgia,Greene,0.8014540936078589,Percentage points,13133,800
Georgia,Gwinnett,0.8014540936078589,Percentage points,13135,804
Georgia,Habersham,0.8014540936078589,Percentage points,13137,806
Georgia,Hall,0.8014540936078589,Percentage points,13139,808
Georgia,Hancock,0.8014540936078589,Percentage points,13141,810
Georgia,Haralson,0.8014540936078589,Percentage points,13143,813
Georgia,Harris,0.8014540936078589,Percentage points,13145,814
Georgia,Hart,0.8014540936078589,Percentage points,13147,816
Georgia,Heard,0.8014540936078589,Percentage points,13149,817
Georgia,Henry,0.8014540936078589,Percentage points,13151,820
Georgia,Houston,0.8014540936078589,Percentage points,13153,823
Georgia,Irwin,0.8014540936078589,Percentage points,13155,825
