State,County,Vegetable acres harvested for fresh market per 1000 pop 2012 (FRESHVEG_ACRESPTH12),Units,FIPS,FID
Florida,Taylor,0.5714788113240724,"Acres/1,000 pop",12123.0,981
Florida,Union,13.846961543509646,"Acres/1,000 pop",12125.0,982
Florida,Volusia,nan,"Acres/1,000 pop",12127.0,983
Florida,Wakulla,1.6556291390728477,"Acres/1,000 pop",12129.0,984
Florida,Walton,nan,"Acres/1,000 pop",12131.0,985
Florida,Washington,2.1340849607408896,"Acres/1,000 pop",12133.0,986
Georgia,Appling,5.390395295655015,"Acres/1,000 pop",13001.0,987
Georgia,Atkinson,4.490291262135922,"Acres/1,000 pop",13003.0,988
Georgia,Bacon,nan,"Acres/1,000 pop",13005.0,989
Georgia,Baker,nan,"Acres/1,000 pop",13007.0,990
