State,County,Direct farm sales (% change) 2007 - 12 (PCH_DIRSALES_07_12),Units,FIPS,FID
Georgia,Murray,-54.666666666666664,% change,13213.0,892
Georgia,Muscogee,-100.0,% change,13215.0,896
Georgia,Newton,nan,% change,13217.0,899
Georgia,Oconee,64.20454545454545,% change,13219.0,901
Georgia,Oglethorpe,316.0,% change,13221.0,905
Georgia,Paulding,600.0,% change,13223.0,908
Georgia,Peach,13.131313131313133,% change,13225.0,910
Georgia,Pickens,-27.722772277227726,% change,13227.0,912
Georgia,Pierce,-40.54054054054054,% change,13229.0,915
Georgia,Pike,17.857142857142858,% change,13231.0,7
Georgia,Polk,6.521739130434782,% change,13233.0,8
Georgia,Pulaski,-59.310344827586206,% change,13235.0,11
Georgia,Putnam,nan,% change,13237.0,13
Georgia,Quitman,nan,% change,13239.0,16
Georgia,Rabun,nan,% change,13241.0,18
Georgia,Randolph,nan,% change,13243.0,23
